,lien, Marque , Modèle , Mise en circulation , Energie , Boite vitesse , kilométrage, Puissance fiscal, Etat du véhicule ,date annonce,Prix
71,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/2015-audi-a3-berline-17767,Audi,A3,04-2015,Essence,Manuelle,139000 Km,5 CV,Excellent,22 Mai 2020,63000
72,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/2014-toyota-yaris-e-1ere-main-17775,Toyota,Yaris,10-2014,Essence,Manuelle,114000 Km,5 CV,Excellent,22 Mai 2020,34000
73,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/2011-volkswagen-polo-7-1ere-main-17747,Volkswagen,Polo 7,02-2011,Essence,Manuelle,116000 Km,4 CV,Excellent,22 Mai 2020,26000
74,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/2011-audi-a4-17901,Audi,A4,11-2011,Essence,Manuelle,222000 Km,7 CV,Excellent,22 Mai 2020,45000
75,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/2010-citroen-berlingo-5places-18066,Citroen,Berlingo,10-2010,Diesel,Manuelle,344000 Km,5 CV,Excellent,22 Mai 2020,25500
76,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/1991-mercedes-190d-4-cylindres-18063,Mercedes,190,05-1991,Diesel,Manuelle,381000 Km,7 CV,Excellent,22 Mai 2020,28000
77,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/2016-fiat-grande-punto-18062,Fiat,Grande Punto ,04-2016,Essence,Manuelle,81000 Km,4 CV,Excellent,22 Mai 2020,27500
78,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/2017-chevrolet-aveo-18061,Chevrolet,Aveo,06-2017,Essence,Manuelle,94000 Km,5 CV,Excellent,22 Mai 2020,25500
79,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/2007-infinity-fx35-bva-18059,Infiniti,FX 35,10-2007,Essence,Automatique,135000 Km,20 CV,Excellent,22 Mai 2020,59500
80,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/2017-volkswagen-golf-7-allstar-18058,Volkswagen,Golf 7,02-2017,Essence,Manuelle,35000 Km,5 CV,Excellent,22 Mai 2020,74000
81,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/2006-mercedes-e200-bvm-17750,Mercedes,Classe E,05-2006,Essence,Manuelle,226000 Km,11 CV,Excellent,22 Mai 2020,36900
82,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/audi-a4-18-modele-2012-7cv-essence-18057,Audi,A4,07-2012,Essence,Manuelle,270000 Km,7 CV,Très bon,21 Mai 2020,46000
83,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/2017-mazda-3-sedan-skyactiv-toit-ouvrant-1-ere-main-18009,Mazda,Mazda3,03-2017,Essence,Manuelle,61000 Km,6 CV,Excellent,20 Mai 2020,59500
84,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/polo3-tres-propre-18056,Volkswagen,Polo 3,05-1995,Essence,Manuelle,51900 Km,5 CV,Excellent,19 Mai 2020,10000
85,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/-17924,BMW,SERIE 3 ,06-2011,Essence,Automatique,182000 Km,8 CV,Excellent,19 Mai 2020,49500
86,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/2006-mercedes-e200-bvm-17677,Mercedes,Classe E,05-2006,Essence,Manuelle,226000 Km,11 CV,Excellent,19 Mai 2020,38000
87,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/2006-volkswagen-passat-tdi-18053,Volkswagen,Passat,06-2006,Diesel,Manuelle,136000 Km,8 CV,Excellent,18 Mai 2020,36000
88,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/2014-mini-one-toit-pano-18051,Mini,One,05-2014,Essence,Manuelle,109000 Km,5 CV,Excellent,18 Mai 2020,65000
89,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/2006-opel-astra-h-sw-cdti-18050,Opel,Astra,09-2006,Diesel,Manuelle,161000 Km,6 CV,Excellent,18 Mai 2020,25500
90,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/2012-opel-astra-j-bvm-1ere-main-18049,Opel,Astra,05-2012,Essence,Manuelle,68000 Km,6 CV,Excellent,18 Mai 2020,34500
91,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/2016-kia-rio-sedan-18048,Kia,RIO,06-2016,Essence,Manuelle,76000 Km,5 CV,Excellent,18 Mai 2020,32500
92,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/2015-bmw-520i-f10-kit-m-bva-1ere-main-17975,BMW,SERIE 5 ,11-2015,Essence,Automatique,123000 Km,9 CV,Excellent,18 Mai 2020,122000
93,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/2013-mercedes-c180-bva-18031,Mercedes,Classe C,10-2013,Essence,Automatique,252000 Km,9 CV,Excellent,18 Mai 2020,64500
94,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/2013-bmw-520d-bva-17980,BMW,SERIE 5 ,06-2013,Diesel,Automatique,115000 Km,10 CV,Excellent,18 Mai 2020,95500
95,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/2010-kia-sportage-awd-bva-17889,Kia,Sportages,10-2010,Diesel,Automatique,291000 Km,11 CV,Excellent,18 Mai 2020,49500
96,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/2017-mazda-3-skyactiv-avec-toit-1ere-main-17992,Mazda,Mazda3,11-2017,Essence,Manuelle,74000 Km,6 CV,Excellent,17 Mai 2020,66000
97,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/1999-nissan-patrol-7places-18043,Nissan,Patrol,05-1999,Diesel,Manuelle,307000 Km,11 CV,Excellent,17 Mai 2020,39900
98,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/2013-fiat-grande-punto-18046,Fiat,Grande Punto ,03-2013,Essence,Manuelle,134000 Km,4 CV,Excellent,17 Mai 2020,23500
